Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C6",0603,4,1µF,
"C11, C3, C5, C7, C8",0603,5,100nF,
C12,0603,1,4.7µF,
"C13, C4",0603,2,10µF,
C9,0603,1,10nF,
D1,0805,1,ORG_LED,
D2,0805,1,BLU_LED,
D3,SOT95P280X145-6N,1,USBLC6-2SC6Y,
D4,0805,1,RED_LED,
D5,SODFL3616X98N,1,MBR120ESFT1G,
FB1,0805,1,1kΩ @ 100MHz,
IC1,QFN50P500X500X60-33N-D,1,STM32U073KCU6,
J3,2171790001_MOL,1,2171790001,
L1,INDC2012X100N,1,DFE201210U-2R2M=P2,
P1,JST_S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,
Q1,SOT50P160X90-3N,1,DMG1013T-7,
"R1, R6",0603,2,1k5,
R2,0603,1,1k,
"R4, R5",0603,2,5k1,
"R7, R8, R9",0603,3,100k,
R_P,0603,1,24k,
SW1,SW_TS04-66-55-BK-260-SMT,1,RST,
SW2,SW_TS04-66-55-BK-260-SMT,1,BOOT,
U2,DFN50P300X300X80-9N,1,LM3676SD-3.3,LM3676SD-3.3
