Designator,Mid X,Mid Y,Rotation,Layer
C1,41.148,-14.224,90.0,top
C10,1.892,-16.256,180.0,top
C11,33.02,-11.176,270.0,top
C12,12.687,-7.562,180.0,top
C13,9.525,-7.562,0.0,top
C2,39.624,-8.128,270.0,top
C3,24.384,-9.144,90.0,top
C4,26.035,-9.131,90.0,top
C5,24.384,-5.448,90.0,top
C6,25.908,-5.461,90.0,top
C7,15.367,-4.458,90.0,top
C8,9.779,-15.507,90.0,top
C9,8.128,-15.507,90.0,top
D1,47.307,-4.064,180.0,top
D2,47.307,-16.128,180.0,top
D3,10.16,-10.16,180.0,top
D4,4.0795,-2.159,180.0,top
D5,14.605,-16.255,180.0,top
FB1,5.3805,-16.256,180.0,top
IC1,19.332,-7.403,180.0,top
J3,3.048,-10.16,270.0,top
L1,8.763,-4.797,270.0,top
P1,42.845,-10.16,270.0,top
Q1,15.113,-13.461,90.0,top
R1,43.751,-4.064,0.0,top
R2,43.751,-16.128,0.0,top
R4,5.842,-4.191,0.0,top
R5,8.89,-12.827,180.0,top
R6,2.731,-4.191,180.0,top
R7,19.304,-13.843,90.0,top
R8,13.081,-13.525,90.0,top
R9,18.605,-16.383,0.0,top
R_P,33.02,-15.685,270.0,top
SW1,32.744,-6.35,0.0,top
SW2,26.184,-13.934,0.0,top
U2,12.192,-5.401,0.0,top
